CODES,DESCRIPTION,UNIT_1_TAX,UNIT_2_TAX,UNIT_3_TAX,UNIT,WEIGHT,STD,IM_STD,EX_STD
86040010002,"Railway or tramway maintenance or service vehicles, self-propelled",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,NIU,KGM,,,
86040090005,Other railway or tramway maintenance or service vehicles,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,NIU,KGM,,,
86050000003,"Railway or tramway passenger coaches, not self-propelled; luggage vans, post office coaches and other special purpose railway or tramway coaches, not self-propelled (excluding those of heading 86.04)",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,NIU,KGM,,,
86061000000,"Tank wagons and the like, not self-propelled",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,NIU,KGM,,,
86063000006,"Self-discharging vans and wagons, not self-propelled",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,NIU,KGM,,,
86069110000,"Insulated or refrigerated vans and wagons, not self-propelled, other than those of subheading No. 8606.10",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,NIU,KGM,,,
86069190003,"Other railway or tramway goods vans and wagons, covered and closed, not self-propelled",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,NIU,KGM,,,
86069200001,"Open, with non-removable sides of a height exceeding 60 cm, not self-propelled",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,NIU,KGM,,,
86069900004,"Other railway and tramway freight cars, not self-propelled",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,NIU,KGM,,,
86071100008,Driving bogies and bissel-bogies.,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,,KGM,,,
86071200007,Other bogies and bissel-bogies,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,,KGM,,,
86071900000,"Other, including parts",5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,,KGM,,,
86072100006,Air brakes and parts thereof,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,,KGM,,,
86072900008,Other brakes and parts thereof,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",5 PERCENT,,KGM,,,
