CODES,DESCRIPTION,YEAR,UNIT_1_CODES,UNIT_1_DESCRIPTION,UNIT_2_CODES,UNIT_2_DESCRIPTION
30229,"Other flat fish,fresh or chilled",2023,9,Kilogram,?,?
30231,"Albacore or longfinned tunas (Thunnus alalunga) ,fresh or chilled",2023,9,Kilogram,?,?
30232,"Yellowfin tunas (Thunnus albacares) ,fresh or chilled",2023,9,Kilogram,?,?
30233,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,fresh or chilled",2023,9,Kilogram,?,?
30234,"Bigeye tunas (Thunnus obesus),fresh or chilled",2023,9,Kilogram,?,?
30235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis),fresh or chilled",2023,9,Kilogram,?,?
30236,"Southern bluefin tunas (Thunnus maccoyii) ,fresh or chilled",2023,9,Kilogram,?,?
30239,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito ,fresh or chilled
(Euthynnus (Katsuwonus) pelamis),fresh or chilled",2023,9,Kilogram,?,?
30241,"Herrings (Clupea harengus, Clupea pallasii) ,fresh or chilled,fresh or chilled",2023,9,Kilogram,?,?
30242,"Anchovies (Engraulis spp) ,fresh or chilled",2023,9,Kilogram,?,?
30243,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus) ,fresh or chilled",2023,9,Kilogram,?,?
30244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,fresh or chilled",2023,9,Kilogram,?,?
30245,"Jack and horse mackerel (Trachurus spp) ,fresh or chilled",2023,9,Kilogram,?,?
30246,"Cobia (Rachycentron canadum) ,fresh or chilled",2023,9,Kilogram,?,?
30247,"Swordfish (Xiphias gladius) ,fresh or chilled",2023,9,Kilogram,?,?
30249,"Other herrings (Clupea harengus, Clupea pallasii), anchovies ,fresh or chilled
(Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), 
sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), 
mackerel (Scomber scombrus, Scomber australasicus, Scomber 
japonicus), Indian mackerels (Rastrelliger spp.), seerfishes 
(Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), 
jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), 
silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), 
scads (Decapterus spp.), capelin (Mallotus villosus), swordfish 
(Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda 
spp.), marlins, sailfishes, spearfish (Istiophoridae),",2023,9,Kilogram,?,?
30251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,fresh or chilled",2023,9,Kilogram,?,?
30252,"Haddock (Melanogrammus aeglefinus) ,fresh or chilled",2023,9,Kilogram,?,?
30253,"Coalfish (Pollachius virens) ,fresh or chilled",2023,9,Kilogram,?,?
30254,"Hake (Merluccius spp, Urophycis spp) ,fresh or chilled",2023,9,Kilogram,?,?
30255,"Alaska Pollack (Theragra chalcogramma) ,fresh or chilled",2023,9,Kilogram,?,?
30256,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,fresh or chilled",2023,9,Kilogram,?,?
30259,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, fresh or chilled
Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,fresh or chilled",2023,9,Kilogram,?,?
30271,"Tilapias (Oreochromis spp) ,fresh or chilled",2023,9,Kilogram,?,?
30272,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) ,fresh or chilled",2023,9,Kilogram,?,?
30273,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, fresh or chilled
Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon 
piceus, Catla catla, Labeo spp, Osteochilus hasselti, 
Leptobarbus hoeveni, Megalobrama spp)",2023,9,Kilogram,?,?
30274,"Eels (Anguilla spp) ,fresh or chilled",2023,9,Kilogram,?,?
30279,"Other tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., 
Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., 
Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus 
spp., Mylopharyngodon piceus, Catla catla, Labeo spp., 
Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), 
eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads 
(Channa spp.) ,fresh or chilled",2023,9,Kilogram,?,?
30281,"Dogfish and other sharks ,fresh or chilled",2023,9,Kilogram,?,?
30282,"Rays and skates (Rajidae) ,fresh or chilled",2023,9,Kilogram,?,?
30283,"Toothfish (Dissostichus spp) ,fresh or chilled",2023,9,Kilogram,?,?
30284,"Seabass (Dicentrarchus spp) ,fresh or chilled",2023,9,Kilogram,?,?
30285,"Seabream (Sparidae) ,fresh or chilled",2023,9,Kilogram,?,?
30289,"Other fish,fresh or chilled",2023,9,Kilogram,?,?
30291,"Livers, roes and milt ,fresh or chilled",2023,9,Kilogram,?,?
30292,"Shark fins ,fresh or chilled",2023,9,Kilogram,?,?
30299,"Other fish fins, heads, tails, maws and other edible fish offal,fresh or chilled",2023,9,Kilogram,?,?
30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",2023,9,Kilogram,?,?
30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",2023,9,Kilogram,?,?
30313,"Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) ,frozen",2023,9,Kilogram,?,?
30314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster) ,frozen",2023,9,Kilogram,?,?
30319,"Other salmonidae,frozen",2023,9,Kilogram,?,?
30323,"Tilapias (Oreochromis spp) , frozen",2023,9,Kilogram,?,?
30324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",2023,9,Kilogram,?,?
30325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozen
Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon 
piceus, Catla catla, Labeo spp, Osteochilus hasselti, 
Leptobarbus hoeveni, Megalobrama spp)",2023,9,Kilogram,?,?
30326,"Eels (Anguilla spp) , frozen",2023,9,Kilogram,?,?
30329,"Other tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., 
Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., 
Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus 
spp., Mylopharyngodon piceus, Catla catla, Labeo spp., 
Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), 
eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads 
(Channa spp.),frozen",2023,9,Kilogram,?,?
30331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",2023,9,Kilogram,?,?
30332,"Plaice (Pleuronectes platessa) , frozen",2023,9,Kilogram,?,?
30333,"Sole (Solea spp) , frozen",2023,9,Kilogram,?,?
30334,"Turbots (Psetta maxima) ,frozen",2023,9,Kilogram,?,?
30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",2023,9,Kilogram,?,?
30341,"Albacore or longfinned tunas (Thunnus alalunga),frozen",2023,9,Kilogram,?,?
30342,"Yellowfin tunas (Thunnus albacares),frozen",2023,9,Kilogram,?,?
30343,"Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis) ,frozen",2023,9,Kilogram,?,?
30344,"Bigeye tunas (Thunnus obesus) ,frozen",2023,9,Kilogram,?,?
30345,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis) ,frozen",2023,9,Kilogram,?,?
30346,"Southern bluefin tunas (Thunnus maccoyii) ,frozen",2023,9,Kilogram,?,?
30349,"Other tunas (of the genus Thunnus), skipjack or stripe-bellied bonito 
(Euthynnus (Katsuwonus) pelamis),frozen",2023,9,Kilogram,?,?
30351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",2023,9,Kilogram,?,?
30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",2023,9,Kilogram,?,?
30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",2023,9,Kilogram,?,?
30355,"Jack and horse mackerel (Trachurus spp) ,frozen",2023,9,Kilogram,?,?
30356,"Cobia (Rachycentron canadum) ,frozen",2023,9,Kilogram,?,?
30357,"Swordfish (Xiphias gladius) ,frozen",2023,9,Kilogram,?,?
30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies 
(Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), 
sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), 
mackerel (Scomber scombrus, Scomber australasicus, Scomber 
japonicus), Indian mackerels (Rastrelliger spp.), seerfishes 
(Scomberomorus spp), jack and horse mackerel (Trachurus spp.), 
jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), 
silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), 
scads (Decapterus spp.), capelin (Mallotus villosus), swordfish 
(Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda 
spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",2023,9,Kilogram,?,?
30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",2023,9,Kilogram,?,?
30364,"Haddock (Melanogrammus aeglefinus) ,frozen",2023,9,Kilogram,?,?
30365,"Coalfish (Pollachius virens) ,frozen",2023,9,Kilogram,?,?
30366,"Hake (Merluccius spp, Urophycis spp) ,frozen",2023,9,Kilogram,?,?
30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",2023,9,Kilogram,?,?
30368,"Blue whitings (Micromesistius poutassou, Micromesistius australis) ,frozen",2023,9,Kilogram,?,?
30369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, 
Macrouridae, Melanonidae, Merlucciidae, Moridae and 
Muraenolepididae,frozen",2023,9,Kilogram,?,?
30381,"Dogfish and other sharks ,frozen",2023,9,Kilogram,?,?
30382,"Rays and skates (Rajidae) ,frozen",2023,9,Kilogram,?,?
30383,"Toothfish (Dissostichus spp) ,frozen",2023,9,Kilogram,?,?
30384,"Seabass (Dicentrarchus spp) ,frozen",2023,9,Kilogram,?,?
30389,"Other fish ,frozen",2023,9,Kilogram,?,?
30391,"Livers, roes and milt,frozen",2023,9,Kilogram,?,?
30392,"Shark fins ,frozen",2023,9,Kilogram,?,?
30399,"Other fish fins, heads, tails, maws and other edible fish 
offal,frozen",2023,9,Kilogram,?,?
30431,Fresh or chilled tilapias (Oreochromis spp),2023,9,Kilogram,?,?
30432,"Fresh or chilled catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",2023,9,Kilogram,?,?
30433,Fresh or chilled nile Perch (Lates niloticus),2023,9,Kilogram,?,?
30439,"Other fresh or chilled fillets of tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",2023,9,Kilogram,?,?
30441,"Fresh or chilled pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha , fresh, chilled
Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho 
hucho)",2023,9,Kilogram,?,?
30442,"Fresh or chilled trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",2023,9,Kilogram,?,?
30443,"Fresh or chilled flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",2023,9,Kilogram,?,?
30444,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",2023,9,Kilogram,?,?
30445,Fresh or chilled swordfish (Xiphias gladius),2023,9,Kilogram,?,?
30446,Fresh or chilled toothfish (Dissostichus spp),2023,9,Kilogram,?,?
30447,Fresh or chilled dogfish and other sharks,2023,9,Kilogram,?,?
30448,Fresh or chilled rays and skates (Rajidae),2023,9,Kilogram,?,?
30449,"Fresh or chilled fillets of fish, n.e.s",2023,9,Kilogram,?,?
30451,"Fresh or chilled meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, 
Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, 
Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp), Nile perch (Lates niloticus) and snakeheads (Channa spp)",2023,9,Kilogram,?,?
30452,"Fresh or chilled meat, whether or not minced,of salmonidae",2023,9,Kilogram,?,?
30453,"Fresh or chilled meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and 
Muraenolepididae",2023,9,Kilogram,?,?
30454,"Fresh or chilled meat, whether or not minced, of swordfish (Xiphias gladius)",2023,9,Kilogram,?,?
30455,"Fresh or chilled meat, whether or not minced, of toothfish (Dissostichus spp)",2023,9,Kilogram,?,?
30456,"Fresh or chilled meat, whether or not minced, of dogfish and other sharks",2023,9,Kilogram,?,?
30457,"Fresh or chilled meat, whether or not minced,of rays and skates (Rajidae)",2023,9,Kilogram,?,?
30459,"Fresh or chilled fish meat, whether or not minced (excluding all fillets, tilapias, catfish, carp, eels, Nile perch, snakeheads, salmonidae, swordfish, toothfish and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",2023,9,Kilogram,?,?
30461,Frozen fillets of tilapias (Oreochromis spp),2023,9,Kilogram,?,?
30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",2023,9,Kilogram,?,?
30463,Frozen fillets of nile Perch (Lates niloticus),2023,9,Kilogram,?,?
30469,Frozen fillets of carp Cyprinus carpio,2023,9,Kilogram,?,?
30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",2023,9,Kilogram,?,?
30472,Frozen fillets of haddock (Melanogrammus aeglefinus),2023,9,Kilogram,?,?
30473,Frozen fillets of coalfish (Pollachius virens),2023,9,Kilogram,?,?
30474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",2023,9,Kilogram,?,?
30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),2023,9,Kilogram,?,?
30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",2023,9,Kilogram,?,?
30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus 
kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",2023,9,Kilogram,?,?
30482,"Frozen fillets of trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchusclarki, Oncorhynchus aguabonita, Oncorhynchus gilae,Oncorhynchus apache and Oncorhynchus chrysogaster)",2023,9,Kilogram,?,?
30483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",2023,9,Kilogram,?,?
30484,Frozen fillets of swordfish (Xiphias gladius),2023,9,Kilogram,?,?
30485,Frozen fillets of toothfish (Dissostichus spp),2023,9,Kilogram,?,?
30486,"Frozen fillets of herrings (Clupea harengus, Clupea pallasii)",2023,9,Kilogram,?,?
30487,"Frozen fillets of tunas (of the genus Thunnus),skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",2023,9,Kilogram,?,?
30488,"Frozen fillets of dogfish, other sharks, rays and skates (Rajidae)",2023,9,Kilogram,?,?
30489,"Frozen fish fillets, n.e.s.",2023,9,Kilogram,?,?
30491,"Frozen meat, whether or not minced, of swordfish (Xiphias gladius)",2023,9,Kilogram,?,?
30492,"Frozen meat, whether or not minced, of toothfish (Dissostichus spp)",2023,9,Kilogram,?,?
30493,"Frozen meat, whether or not minced, of tilapias (Oreochromis spp), catfish (Pangasius spp, Silurus 
spp, Clarias spp, Ictalurus spp), carp (Cyprinus spp, 
Carassius spp, Ctenopharyngodon idellus, Hypophthalmichthys 
spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, 
Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, 
Megalobrama spp), eels (Anguilla spp), Nile perch (Lates 
niloticus) and snakeheads (Channa spp)",2023,9,Kilogram,?,?
30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",2023,9,Kilogram,?,?
